country,city,lat,lon,timestamp,hour,day,month,day_of_week,aqi,temp_c,humidity,pressure,wind_speed,pm25,pm10,co,no2,so2,o3,aqi_change_rate,aqi_reference
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T07:35:14.224575+00:00,7,4,8,1,53,40.08,33,1000,5.18,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T07:57:15.801783+00:00,7,4,8,1,121,40.08,33,1000,5.18,43.49,163.07,153.6,0.4,1.32,82.41,68.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T08:31:20.548591+00:00,8,4,8,1,113,40.6,32,999,4.6,40.34,151.67,148.98,0.33,1.07,81.88,-8.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T11:15:07.916001+00:00,11,4,8,1,112,41.22,30,997,4.7,39.93,147.26,154.71,0.54,0.87,79.68,-1.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T13:45:23.377581+00:00,13,4,8,1,96,37.44,39,998,4.99,33.6,133.41,156.1,0.92,0.81,75.03,-16.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T16:06:50.611900+00:00,16,4,8,1,99,36.6,41,999,4.86,34.7,139.51,141.08,1.13,0.75,68.51,3.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T18:22:52.720507+00:00,18,4,8,1,99,36.06,42,999,4.53,34.83,143.87,131.87,1.19,0.7,64.09,0.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T20:18:20.535523+00:00,20,4,8,1,101,34.85,46,998,5.7,35.63,149.46,120.48,1.01,0.76,63.05,2.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T22:03:08.850817+00:00,22,4,8,1,110,33.5,49,998,5.47,39.15,159.23,121.76,0.8,1.12,68.7,9.0,
Pakistan,Bahawalpur,29.3956,71.6836,2026-08-04T23:54:28.123231+00:00,23,4,8,1,119,32.86,51,997,4.65,42.98,166.51,139.62,0.8,2.02,73.09,9.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T07:35:53.401530+00:00,7,4,8,1,53,42.1,28,999,0.4,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T07:57:53.586414+00:00,7,4,8,1,106,42.11,28,999,0.4,37.67,58.49,371.64,1.15,1.4,106.76,53.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T08:31:40.596865+00:00,8,4,8,1,500,41.96,28,998,0.56,35.05,54.66,351.68,1.07,1.11,106.22,394.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T11:15:28.350222+00:00,11,4,8,1,114,42.01,28,996,1.82,40.78,60.09,423.74,4.86,1.3,93.95,-386.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T13:45:44.185055+00:00,13,4,8,1,117,38.81,35,997,1.93,42.04,72.71,444.55,7.58,2.04,81.09,3.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T16:07:30.132256+00:00,16,4,8,1,123,37.65,38,998,3.87,44.61,76.17,542.48,11.37,2.04,59.6,6.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T18:23:36.599702+00:00,18,4,8,1,127,35.6,46,998,2.91,45.96,77.14,623.04,13.78,1.92,45.11,4.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T20:18:58.120057+00:00,20,4,8,1,125,33.85,50,998,2.33,45.16,76.63,645.27,14.4,1.71,35.36,-2.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T22:03:27.011769+00:00,22,4,8,1,121,32.53,55,997,1.88,43.78,78.57,644.95,14.28,1.62,29.73,-4.0,
Pakistan,Chiniot,31.72,72.9781,2026-08-04T23:54:47.941606+00:00,23,4,8,1,120,31.85,57,997,1.89,43.18,88.97,578.78,12.9,2.04,28.72,-1.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T07:35:32.499456+00:00,7,4,8,1,189,41.91,27,998,3.31,189.0,,,,,,,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T07:57:33.474898+00:00,7,4,8,1,154,41.91,27,998,3.31,60.5,184.62,211.34,1.62,11.1,102.54,-35.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T08:31:29.920245+00:00,8,4,8,1,153,42.67,26,997,3.46,60.24,179.41,202.79,1.38,11.53,107.65,-1.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T11:15:17.434642+00:00,11,4,8,1,145,43.51,24,996,4.59,53.56,146.27,226.05,2.07,9.39,108.53,-8.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T13:45:32.958773+00:00,13,4,8,1,114,39.91,32,996,7.21,40.72,117.25,236.57,4.34,10.15,101.27,-31.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T16:07:08.298349+00:00,16,4,8,1,107,37.27,38,997,8.01,37.89,116.67,222.1,4.91,10.0,82.33,-7.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T18:23:05.442915+00:00,18,4,8,1,104,36.0,42,998,7.49,36.81,124.12,197.71,4.97,10.65,70.12,-3.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T20:18:37.193267+00:00,20,4,8,1,110,34.41,45,998,7.36,39.32,137.77,174.77,4.8,11.54,65.11,6.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T22:03:17.411483+00:00,22,4,8,1,122,33.45,48,996,8.22,44.05,151.07,168.84,4.13,9.19,66.34,12.0,
Pakistan,Dera Ghazi Khan,30.0561,70.6345,2026-08-04T23:54:37.418322+00:00,23,4,8,1,134,33.07,49,996,6.52,48.73,160.69,174.9,3.7,7.51,71.35,12.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T07:34:55.728268+00:00,7,4,8,1,53,41.28,30,999,1.69,13.0,8.0,1.9,1.9,2.1,53.2,,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T07:56:56.831522+00:00,7,4,8,1,106,41.28,30,999,1.69,37.7,65.98,360.89,1.15,0.95,105.37,53.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T08:31:10.576347+00:00,8,4,8,1,99,41.4,29,998,2.02,35.03,60.24,344.24,1.1,0.77,105.2,-7.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T11:14:57.909591+00:00,11,4,8,1,108,40.07,32,997,3.22,38.45,60.02,407.99,4.59,1.11,99.24,9.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T13:45:12.959715+00:00,13,4,8,1,113,39.04,34,997,2.57,40.36,70.05,541.04,13.2,1.96,68.69,5.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T16:06:30.463702+00:00,16,4,8,1,121,37.15,40,998,2.36,43.49,73.69,668.56,18.09,2.26,46.24,8.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T18:22:27.868491+00:00,18,4,8,1,121,36.19,44,998,1.68,43.58,73.23,733.78,19.12,1.94,33.9,0.0,
Pakistan,Faisalabad,31.4504,73.135,2026-08-04T20:17:56.055643+00:00,20,4,8,1,110,34.56,48,998,2.38,39.23,69.51,666.5,15.91,1.45,33.06,-11.0,
